,FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION
1,547,548,EMAY01,449798.915,4433966.016,40.0544448,-105.5885782,Ebert-May Plot 01,Diane Ebert-May,observational plot,3529.661,,vegetation cover plots
1,548,549,EMAY22,449848.473,4433925.473,40.0540825,-105.587994,Ebert-May Plot 22,Diane Ebert-May,observational plot,3530.705,,vegetation cover plots
1,549,550,EMAY22,449839.393,4433922.974,40.0540594,-105.5881003,Ebert-May Plot 22,Diane Ebert-May,observational plot,3529.396,,vegetation cover plots
1,550,551,EMAY25,449733.891,4434180.428,40.0563726,-105.5893571,Ebert-May Plot 25,Diane Ebert-May,observational plot,3527.189,,vegetation cover plots
1,551,552,EMAY25,449732.516,4434190.179,40.0564603,-105.589374,Ebert-May Plot 25,Diane Ebert-May,observational plot,3526.658,,vegetation cover plots
1,552,553,PTQUAD18,449727.045,4434048.314,40.0551819,-105.5894271,Saddle Pt Quad 18,Marilyn Walker,observational plot,3530.359,,Point quadrat measurements at the saddle are made yearly
1,554,555,EMAY21,449947.016,4434032.659,40.055054,-105.586847,Ebert-May Plot 21,Diane Ebert-May,observational plot,3546.759,,vegetation cover plots
1,558,559,EMAY28,449884.483,4434122.604,40.0558606,-105.5875871,Ebert-May Plot 28,Diane Ebert-May,observational plot,3538.066,,vegetation cover plots
1,559,560,EMAY27,449873.255,4434105.872,40.0557092,-105.5877174,Ebert-May Plot 27,Diane Ebert-May,observational plot,3538.507,,vegetation cover plots
1,565,566,EMAY32,449801.294,4434208.204,40.0566268,-105.588569,Ebert-May Plot 32,Diane Ebert-May,observational plot,3525.485,,vegetation cover plots
1,566,567,EMAY26,449751.44,4434171.171,40.0562902,-105.5891507,Ebert-May Plot 26,Diane Ebert-May,observational plot,3527.885,,vegetation cover plots
1,651,652,EMAY23,449665.554,4434066.884,40.0553456,-105.5901495,Ebert-May Plot 23,Diane Ebert-May,observational point,3531.197,,vegetation cover plots
1,657,658,EMAY24,449726.359,4434167.902,40.0562593,-105.5894445,Ebert-May Plot 24,Diane Ebert-May,observational point,3527.321,,vegetation cover plots
1,661,662,EMAY10,449692.619,4434024.496,40.0549653,-105.5898289,Ebert-May Plot 10,Diane Ebert-May,observational point,3529.175,,vegetation cover plots
1,662,663,EMAY05,449679.156,4433942.797,40.0542284,-105.5899804,Ebert-May Plot 05,Diane Ebert-May,observational point,3522.423,,vegetation cover plots
1,663,664,EMAY04,449692.248,4433954.1,40.0543311,-105.5898278,Ebert-May Plot 04,Diane Ebert-May,observational point,3523.131,,vegetation cover plots
1,664,665,EMAY03,449699.567,4433929.763,40.0541122,-105.5897401,Ebert-May Plot 03,Diane Ebert-May,observational point,3521.019,,vegetation cover plots
1,667,668,EMAY02,449737.851,4433936.288,40.0541733,-105.5892918,Ebert-May Plot 02,Diane Ebert-May,observational plot,3522.182,,vegetation cover plots
1,690,691,PTQUAD02,449431.347,4434074.133,40.0553968,-105.5928959,Saddle Pt Quad 02,Marilyn Walker,observational plot,3555.614,,Point quadrat measurements at the saddle are made yearly
1,691,692,EP25-1E,449740.4,4434080.349,40.0554713,-105.5892731,EP25-1E,Marilyn Walker,manipulative plot,3530.395,,Itex experiment
1,692,693,EP75-1E,449787.698,4434076.633,40.0554407,-105.5887183,EP75-1E,Marilyn Walker,manipulative plot,3531.899,,Itex experiment
1,896,897,Itex Bounding Coords,449686.896,4434616.561,40.060299,-105.589942,Itex Bounding Coordinates,Katie Suding,manipulative plot,NaN,,"Experimental manipulation of increased winter snowpack, nitrogen fertilization and summer temperature"
1,897,898,Itex Bounding Coords,449729.256,4434612.285,40.060263,-105.589445,Itex Bounding Coordinates,Katie Suding,manipulative plot,NaN,,"Experimental manipulation of increased winter snowpack, nitrogen fertilization and summer temperature"
1,898,899,Itex Bounding Coords,449706.103,4434670.601,40.060787,-105.589721,Itex Bounding Coordinates,Katie Suding,manipulative plot,NaN,,"Experimental manipulation of increased winter snowpack, nitrogen fertilization and summer temperature"
1,899,900,Itex Bounding Coords,449709.914,4434602.09,40.06017,-105.589671,Itex Bounding Coordinates,Katie Suding,manipulative plot,NaN,,"Experimental manipulation of increased winter snowpack, nitrogen fertilization and summer temperature"
